observationAbout,observationDate,value,variableMeasured,unit
country/BRB,2025,0.0063,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BRB,2025,46.57,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BLR,2024,43830000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BLR,2024,0.01,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BLR,2025,69330000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BLR,2025,0.0158,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BLR,2025,58.17,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BEL,2024,7837170000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BEL,2024,1.7931,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BEL,2025,6320140000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BEL,2025,1.4439,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BEL,2025,-19.36,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BLZ,2024,13470000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BLZ,2024,0.0031,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BLZ,2025,13160000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BLZ,2025,0.003,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BLZ,2025,-2.3,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BEN,2024,752550000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BEN,2024,0.1722,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BEN,2025,1194980000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BEN,2025,0.273,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BEN,2025,58.79,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BMU,2024,6080000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BMU,2024,0.0014,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BMU,2025,4710000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BMU,2025,0.0011,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BMU,2025,-22.59,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BTN,2024,963730000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BTN,2024,0.2205,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BTN,2025,1263830000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BTN,2025,0.2887,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BTN,2025,31.14,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BOL,2024,71410000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BOL,2024,0.0163,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BOL,2025,70120000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BOL,2025,0.016,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BOL,2025,-1.81,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BIH,2024,29280000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BIH,2024,0.0067,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BIH,2025,17330000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BIH,2025,0.004,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BIH,2025,-40.79,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BWA,2024,109260000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BWA,2024,0.025,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BWA,2025,173440000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BWA,2025,0.0396,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BWA,2025,58.74,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/VGB,2024,640000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/VGB,2024,0.0001,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/VGB,2025,1970000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/VGB,2025,0.0005,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/VGB,2025,209.72,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BRA,2024,6021840000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BRA,2024,1.3778,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BRA,2025,6771010000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BRA,2025,1.5469,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BRA,2025,12.44,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/IOT,2024,0,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/IOT,2025,20000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/IOT,2025,0,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BRN,2024,67440000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BRN,2024,0.0154,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BRN,2025,58670000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BRN,2025,0.0134,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BRN,2025,-13,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BGR,2024,223640000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BGR,2024,0.0512,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BGR,2025,230440000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BGR,2025,0.0526,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BGR,2025,3.04,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BFA,2024,120820000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BFA,2024,0.0276,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BFA,2025,144390000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BFA,2025,0.033,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BFA,2025,19.51,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BDI,2024,38370000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BDI,2024,0.0088,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BDI,2025,29370000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BDI,2025,0.0067,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BDI,2025,-23.45,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CAF,2024,65250000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CAF,2024,0.0149,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CAF,2025,11850000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CAF,2025,0.0027,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CAF,2025,-81.84,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/KHM,2024,185390000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/KHM,2024,0.0424,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/KHM,2025,201110000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/KHM,2025,0.0459,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/KHM,2025,8.48,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CMR,2024,454040000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CMR,2024,0.1039,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CMR,2025,596150000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CMR,2025,0.1362,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CMR,2025,31.3,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CAN,2024,3845290000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CAN,2024,0.8798,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CAN,2025,4222270000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CAN,2025,0.9646,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CAN,2025,9.8,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CPV,2024,3160000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CPV,2024,0.0007,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CPV,2025,3600000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CPV,2025,0.0008,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CPV,2025,14.15,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CYM,2024,7120000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CYM,2024,0.0016,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CYM,2025,136930000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CYM,2025,0.0313,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CYM,2025,1822.82,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/TCD,2024,79840000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/TCD,2024,0.0183,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/TCD,2025,81270000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/TCD,2025,0.0186,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/TCD,2025,1.79,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CHL,2024,1182940000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CHL,2024,0.2707,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CHL,2025,1153800000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CHL,2025,0.2636,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CHL,2025,-2.46,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CHN,2024,16658910000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CHN,2024,3.8115,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CHN,2025,14252210000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CHN,2025,3.2561,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CHN,2025,-14.45,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CXR,2024,0,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CXR,2024,0,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CXR,2025,20000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CXR,2025,0,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CXR,2025,565.24,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CCK,2024,10000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CCK,2024,0,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CCK,2025,60000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CCK,2025,0,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CCK,2025,367.32,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COL,2024,1218860000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/COL,2024,0.2789,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COL,2025,1471650000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/COL,2025,0.3362,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COL,2025,20.74,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COM,2024,27950000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/COM,2024,0.0064,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COM,2025,36930000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/COM,2025,0.0084,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COM,2025,32.12,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COD,2024,580690000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/COD,2024,0.1329,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COD,2025,562900000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/COD,2025,0.1286,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COD,2025,-3.06,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COG,2024,176030000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/COG,2024,0.0403,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COG,2025,178390000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/COG,2025,0.0408,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COG,2025,1.34,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COK,2024,230000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/COK,2024,0.0001,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COK,2025,130000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/COK,2025,0,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/COK,2025,-44.15,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
