typeOf,observationDate,observationAbout,value,unit,variableMeasured
dcs:StatVarObservation,2021,country/IND,1.39,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode56
dcs:StatVarObservation,2021,country/IND,34.71,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode57
dcs:StatVarObservation,2021,country/IND,1.4,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode58
dcs:StatVarObservation,2021,country/IND,16.13,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode59
dcs:StatVarObservation,2021,country/IND,-19.81,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode60
dcs:StatVarObservation,2021,country/IND,11.07,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode61
dcs:StatVarObservation,2021,country/IND,-8.78,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode62
dcs:StatVarObservation,2021,country/IND,29.29,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode63
dcs:StatVarObservation,2021,country/IND,-12.77,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode64
dcs:StatVarObservation,2021,country/IND,51.85,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode65
dcs:StatVarObservation,2021,country/IND,213.75,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode66
dcs:StatVarObservation,2021,country/IND,-57.18,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode67
dcs:StatVarObservation,2021,country/IND,13.43,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode68
dcs:StatVarObservation,2021,country/IND,15.04,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode69
dcs:StatVarObservation,2021,country/IND,21.02,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode70
dcs:StatVarObservation,2021,country/IND,11.73,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode71
dcs:StatVarObservation,2021,country/IND,46.84,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode72
dcs:StatVarObservation,2021,country/IND,38.05,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode73
dcs:StatVarObservation,2021,country/IND,23.84,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode74
dcs:StatVarObservation,2021,country/IND,109.98,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode75
dcs:StatVarObservation,2021,country/IND,61.11,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode76
dcs:StatVarObservation,2021,country/IND,-69.28,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode78
dcs:StatVarObservation,2021,country/IND,-29.37,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode79
dcs:StatVarObservation,2021,country/IND,-71.85,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode80
dcs:StatVarObservation,2021,country/IND,-42.17,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode81
dcs:StatVarObservation,2021,country/IND,16.71,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode82
dcs:StatVarObservation,2021,country/IND,32.05,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode84
dcs:StatVarObservation,2021,country/IND,43.23,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode85
dcs:StatVarObservation,2021,country/IND,-95.43,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode86
dcs:StatVarObservation,2021,country/IND,37.18,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode87
dcs:StatVarObservation,2021,country/IND,-74.86,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode88
dcs:StatVarObservation,2021,country/IND,-82.12,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode89
dcs:StatVarObservation,2021,country/IND,22.33,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode90
dcs:StatVarObservation,2021,country/IND,102.85,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode91
dcs:StatVarObservation,2021,country/IND,-52.36,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode92
dcs:StatVarObservation,2021,country/IND,-38.23,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode93
dcs:StatVarObservation,2021,country/IND,35.84,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode94
dcs:StatVarObservation,2021,country/IND,17.17,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode95
dcs:StatVarObservation,2021,country/IND,12.91,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode96
dcs:StatVarObservation,2021,country/IND,-48.1,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode97
dcs:StatVarObservation,2021,country/IND,-55.12,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode98
dcs:StatVarObservation,2021,country/IND,90.1,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode99
dcs:StatVarObservation,2020,country/IND,297400000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode94
dcs:StatVarObservation,2020,country/IND,81580000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode95
dcs:StatVarObservation,2020,country/IND,255560000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode96
dcs:StatVarObservation,2020,country/IND,29980000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode97
dcs:StatVarObservation,2020,country/IND,12880000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode98
dcs:StatVarObservation,2020,country/IND,50000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode99
dcs:StatVarObservation,2020,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0210
dcs:StatVarObservation,2021,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0210
dcs:StatVarObservation,2020,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode2844
dcs:StatVarObservation,2021,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode2844
dcs:StatVarObservation,2021,country/IND,0,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode2844
dcs:StatVarObservation,2021,country/IND,-18.84,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode3401
dcs:StatVarObservation,2021,country/IND,43.31,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode3404
dcs:StatVarObservation,2020,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode3604
dcs:StatVarObservation,2021,country/IND,379.2,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode3604
dcs:StatVarObservation,2021,country/IND,2.32,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode3913
dcs:StatVarObservation,2021,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode5703
dcs:StatVarObservation,2021,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode6002
dcs:StatVarObservation,2021,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode6602
dcs:StatVarObservation,2020,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode0105
dcs:StatVarObservation,2021,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode0105
dcs:StatVarObservation,2020,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode0207
dcs:StatVarObservation,2021,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode0207
dcs:StatVarObservation,2021,country/IND,7590000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode0713
dcs:StatVarObservation,2020,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode1509
dcs:StatVarObservation,2021,country/IND,60000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode1509
dcs:StatVarObservation,2021,country/IND,13660000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode1516
dcs:StatVarObservation,2021,country/IND,42850000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode6806
dcs:StatVarObservation,2021,country/IND,1700000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode2825
dcs:StatVarObservation,2022,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode02
dcs:StatVarObservation,2022,country/IND,19.81,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode53
dcs:StatVarObservation,2022,country/IND,178730000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode54
dcs:StatVarObservation,2022,country/IND,37.93,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode54
dcs:StatVarObservation,2022,country/IND,44700000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode55
dcs:StatVarObservation,2022,country/IND,11.77,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode55
dcs:StatVarObservation,2022,country/IND,83260000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode56
dcs:StatVarObservation,2022,country/IND,627540000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode57
dcs:StatVarObservation,2022,country/IND,-4,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode57
dcs:StatVarObservation,2022,country/IND,15990000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode58
dcs:StatVarObservation,2022,country/IND,17.39,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode58
dcs:StatVarObservation,2022,country/IND,23170000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode59
dcs:StatVarObservation,2022,country/IND,56.34,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode59
dcs:StatVarObservation,2022,country/IND,1310000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode60
dcs:StatVarObservation,2022,country/IND,17.87,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode60
dcs:StatVarObservation,2022,country/IND,924020000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode61
dcs:StatVarObservation,2022,country/IND,34.33,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode61
dcs:StatVarObservation,2022,country/IND,1132100000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode62
dcs:StatVarObservation,2022,country/IND,37.03,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode62
dcs:StatVarObservation,2022,country/IND,1265480000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode63
dcs:StatVarObservation,2022,country/IND,14.39,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode63
dcs:StatVarObservation,2022,country/IND,183520000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode64
dcs:StatVarObservation,2022,country/IND,20020000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode65
dcs:StatVarObservation,2022,country/IND,42.54,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode65
dcs:StatVarObservation,2022,country/IND,140000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode66
dcs:StatVarObservation,2022,country/IND,44.8,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode66
dcs:StatVarObservation,2022,country/IND,-46.45,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode67
dcs:StatVarObservation,2022,country/IND,87260000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode68
dcs:StatVarObservation,2022,country/IND,-4.3,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode68
dcs:StatVarObservation,2022,country/IND,142320000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode69
dcs:StatVarObservation,2022,country/IND,53.59,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode69
dcs:StatVarObservation,2022,country/IND,99450000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode70
dcs:StatVarObservation,2022,country/IND,13.68,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode70
dcs:StatVarObservation,2022,country/IND,2553440000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode71
dcs:StatVarObservation,2022,country/IND,24.84,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode71
dcs:StatVarObservation,2022,country/IND,802860000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode72
dcs:StatVarObservation,2022,country/IND,138.08,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode72
dcs:StatVarObservation,2022,country/IND,1575800000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode73
dcs:StatVarObservation,2022,country/IND,18.09,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode73
dcs:StatVarObservation,2022,country/IND,90770000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode74
dcs:StatVarObservation,2022,country/IND,37.58,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode74
dcs:StatVarObservation,2022,country/IND,1890000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode75
dcs:StatVarObservation,2022,country/IND,21.4,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode75
dcs:StatVarObservation,2022,country/IND,631650000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode76
dcs:StatVarObservation,2022,country/IND,121.47,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode76
dcs:StatVarObservation,2022,country/IND,930000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode78
dcs:StatVarObservation,2022,country/IND,-67.46,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode78
dcs:StatVarObservation,2022,country/IND,2310000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode79
dcs:StatVarObservation,2022,country/IND,10000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode80
dcs:StatVarObservation,2022,country/IND,-81.73,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode80
dcs:StatVarObservation,2022,country/IND,3780000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode81
dcs:StatVarObservation,2022,country/IND,538.65,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode81
dcs:StatVarObservation,2022,country/IND,231340000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode82
dcs:StatVarObservation,2022,country/IND,8.27,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode82
dcs:StatVarObservation,2022,country/IND,99260000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode83
dcs:StatVarObservation,2022,country/IND,28.88,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode83
dcs:StatVarObservation,2022,country/IND,1859550000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode84
dcs:StatVarObservation,2022,country/IND,29.87,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode84
dcs:StatVarObservation,2022,country/IND,1481690000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode85
dcs:StatVarObservation,2022,country/IND,15.76,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode85
dcs:StatVarObservation,2022,country/IND,702520000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode86
dcs:StatVarObservation,2022,country/IND,2358.53,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode86
dcs:StatVarObservation,2022,country/IND,1482110000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode87
dcs:StatVarObservation,2022,country/IND,75.58,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode87
dcs:StatVarObservation,2022,country/IND,31610000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode88
dcs:StatVarObservation,2022,country/IND,458.14,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode88
dcs:StatVarObservation,2022,country/IND,186030000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode89
dcs:StatVarObservation,2022,country/IND,635093.68,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode89
dcs:StatVarObservation,2022,country/IND,18.45,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode90
dcs:StatVarObservation,2022,country/IND,3610000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode91
dcs:StatVarObservation,2022,country/IND,-5.39,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode91
dcs:StatVarObservation,2022,country/IND,3280000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode92
dcs:StatVarObservation,2022,country/IND,63.74,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode92
dcs:StatVarObservation,2022,country/IND,4630000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode93
dcs:StatVarObservation,2022,country/IND,60.86,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode93
dcs:StatVarObservation,2022,country/IND,490640000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode94
dcs:StatVarObservation,2022,country/IND,15.13,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode94
dcs:StatVarObservation,2022,country/IND,247430000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode95
dcs:StatVarObservation,2022,country/IND,33.24,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode95
dcs:StatVarObservation,2022,country/IND,90060000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode96
dcs:StatVarObservation,2022,country/IND,30.8,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode96
dcs:StatVarObservation,2022,country/IND,5780000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode97
dcs:StatVarObservation,2022,country/IND,90000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode98
dcs:StatVarObservation,2022,country/IND,205.79,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode98
dcs:StatVarObservation,2022,country/IND,60000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode99
dcs:StatVarObservation,2022,country/IND,180.05,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode99
dcs:StatVarObservation,2022,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0210
dcs:StatVarObservation,2022,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode2844
dcs:StatVarObservation,2022,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode0207
dcs:StatVarObservation,2022,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode1509
dcs:StatVarObservation,2023,country/IND,281570000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode82
dcs:StatVarObservation,2023,country/IND,100620000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode83
dcs:StatVarObservation,2023,country/IND,2286240000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode84
dcs:StatVarObservation,2023,country/IND,22.95,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode84
dcs:StatVarObservation,2023,country/IND,3386520000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode85
dcs:StatVarObservation,2023,country/IND,128.56,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode85
dcs:StatVarObservation,2023,country/IND,790360000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode86
dcs:StatVarObservation,2023,country/IND,1488890000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode87
dcs:StatVarObservation,2023,country/IND,0.46,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode87
dcs:StatVarObservation,2023,country/IND,27970000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode88
dcs:StatVarObservation,2023,country/IND,-11.5,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode88
dcs:StatVarObservation,2023,country/IND,100000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode89
dcs:StatVarObservation,2023,country/IND,-99.94,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode89
dcs:StatVarObservation,2023,country/IND,6.33,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode90
dcs:StatVarObservation,2023,country/IND,3900000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode91
dcs:StatVarObservation,2023,country/IND,8.01,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode91
dcs:StatVarObservation,2023,country/IND,4080000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode92
dcs:StatVarObservation,2023,country/IND,24.55,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode92
dcs:StatVarObservation,2023,country/IND,5290000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode93
dcs:StatVarObservation,2023,country/IND,14.23,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode93
dcs:StatVarObservation,2023,country/IND,463360000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode94
dcs:StatVarObservation,2023,country/IND,-5.56,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode94
dcs:StatVarObservation,2023,country/IND,250080000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode95
dcs:StatVarObservation,2023,country/IND,1.07,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode95
dcs:StatVarObservation,2023,country/IND,113000000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode96
dcs:StatVarObservation,2023,country/IND,25.47,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode96
